"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","PHN","AKO","REFERENCE"
1009,"*so█n",1950,"guest","гость","\Ison\i","so█n","Nam 308, KED 985."
1010,"*patak ( ┌ -a▀-)",1832,"cloth, weave, texture","ткань","padak","","KED 703."
1011,"*ka▒rmo▒", 728,"axle, metal tube for axle","ось, втулка","","ka▒rmo▒","Nam 19."
1012,"*nЇk-",1185,"brazen, shameless","бесстыдный","nЇk-sal","","KED 332."
1013,"*sa█po▒k",1916,"brace, pivot pin","скоба, шкворень","sabuk","sa█po▒k","Liu 433, KED 876."
1014,"*sp-",2567,"1 to pick out, pluck out, draw 2 to be pulled out, fall out","1 выщипывать, вырывать, вытягивать 2 выдергиваться, выпадать","p:┤-, p:op- 1, p:░-√i- 2","spa▀- 1, spo▒p-t╟t- (-r-) 2","Nam 242, 263, KED 709, 745, 805."
1015,"*╢ёb-", 256,"to pick","подбирать, собирать","╢ёp- (-w-), ╢ёt- [╢ёs-]","╢ёs- (╢ёn▒-), ╢ёn▒- ( < *╢ubun▒-)","Nam 435, KED 1509."
1016,"*╢i█p-", 300,"1 to pick up, pinch 2 tongs, tweezers","1 щипать, брать пальцами 2 клещи, щипцы","╢ip- 1, ╢ipke 2","╢i█p- 1, ╢i█pkЇ▒i 2","Liu 687, KED 1554, 1555."
1017,"*ka▒ps",1009,"price","цена","kap [kaps]","ka▒ps","Nam 24, KED 57."
1018,"*ko█'i▒-", 563,"to love, like","любить","kw╣- (arch.)","ko█'i▒-","Liu 66, KED 188."
1019,"*so'ok",2124,"deep inside","глубоко, в глубине","s╥k","so'ok","Nam 307, KED 979."
1020,"*m╞█ra▀█-",1344,"soft, weak","мягкий, слабый","mur╞-","m╞ra▀-, m╞█r╞█-","Nam 226, KED 656."
1021,"*hoa█r",1882,"bow and arrow","лук и стрела","hwal","hoa█r","Liu 758, KED 1862."
1022,"*thas",2471,"reason; trust","причина; доверие","\Ithat\i [thas] 'reason; fault'","thas","Liu 712, KED 1694."
1023,"*pa▀▒r",1648,"1 layer 2 set","1 слой 2 набор","pЇl 2","pa▀▒r 1, 2","Liu 353, KED 764."
1024,"*njЇ█h-",1486,"to put in","класть, вкладывать","jЇ- [jЇh-] (dial.), nЇ- [nЇh-]","njЇ█h-","Nam 108, 109, KED 336, 1189."
1025,"*Ї█p-", 443,"1 father 2 parents","1 отец 2 родители","Їbi (arch.), abi, abЇ√i 1, ЇbЇi 2","Ї█pi▒ 1, Ї█pЇ█n▒i▒ 2","Nam 361, 362, KED 1074, 1130, 1131."
1026,"*su█r'u▒i",1264,"carriage, cart","повозка","\Isure\i","su█r'u▒i","Nam 315, KED 1001."
1027,"*ko█ro▒", 980,"satin, ornamented silk","сатин, узорный шелк","","ko█ro▒","Nam 46."
1028,"*kop", 901,"navel","пупок","p▓k:op","pa▀i-s-kop","Nam 253, KED 743."
1029,"*k╞█r╞█-", 571,"to be wrong, mistaken","ошибаться, заблуждаться","k╞r╞-","k╞█r╞█(s)-","Nam 67, KED 236."
1030,"*ma▀█i-",1263,"to bind, tie up","связывать, завязывать","m┤-","ma▀█i-","Nam 206, KED 598."
1031,"*p╞▒rh-",1854,"to loosen, undo, explain","развязывать, распаковывать, расслаблять","phul-","ph╞▒r-","Nam 465, KED 1763."
1032,"*sa█i'o▒-",1913,"to be jealous","ревновать","s▓u-","sa█i'o▒-","Nam 296, KED 924."
1033,"*kobVr",1072,"coffin, box","гроб, ящик","","k╥r","Nam 51."
1034,"*ko▒p",1122,"fat, slime","жир, слизь","kop 'a mucous discharge'","ko▒p","Liu 72, KED 162."
1035,"*ka▀'oi ( ┌ *ko'a▀i)", 860,"dressing for the lower part of body","одежда для нижней части тела","koi","ka▀'oi, ko'oi","Nam 15, 48, KED 148. Martin treats the word as a loanword < MC kho█ 'trousers' + ¤╞j 'clothes'; however, the word means both 'trousers' and 'skirt' in MKor.; the compound is not found in Chinese proper; and the MKor phonology cannot be explained < Chinese. Modern koi (orth. ko'╞i) may be a secondary modification under Chinese influence."
1036,"*ki█t╞▒r'o▒-", 802,"to wait","ждать","kidari-","ki█t╞▒r'o▒-","Nam 78, KED 262. Cf. also ki█th- 'to remain'."
1037,"*ork-",2505,"1 rope 2 to tie, bind","1 веревка 2 привязывать, завязывать","\Iok\i [olk] 1, \Iok-\i [olk-] 2","","KED 1209."
1038,"*ta█ta▀▒m-",2752,"to trim, prune","подрубать, подрезать","tad╞m-","ta█ta▀▒m-","Nam 128, KED 381."
1039,"*tha▀▒-",2297,"to get (money), be paid for service","получать (деньги, плату за услуги)","tha-","tha▀▒-","Nam 456, KED 1685."
1040,"*u█s╞█rk", 193,"badger","барсук","","u█s╞█rk","Nam 390."
1041,"*o█n▒a▀▒ri▒",1575,"badger","барсук","osori","o█n▒a▀▒ri▒","Nam 381, KED 1201."
1042,"*ori",2753,"alder","ольха","ori-namu","ori-namo","Liu 576, KED 1199."
1043,"*pїt", 199,"friend, companion","друг, товарищ","pїt [pЇs]","pїt","Nam 256, KED 771."
1044,"*so▒r",2073,"pine tree","сосна","\Isol,\i so-namu","so▒r","Nam 310, KED 970, 990."
1045,"*toph-",2312,"to search for, to seek everywhere","искать всюду, обыскивать","thoph-","","KED 1715."
1046,"*Ї█ri▒", 445,"enclosure","загон, огороженное место","Їri (arch.)","Ї█ri▒","Nam 361, KED 1128."
1047,"*sa█m-",2190,"1 to spin 2 to join ends of threads","1 прясть 2 соединять концы ниток","s░m- 1","sa█m- 1, sa▒msa█m- 2","Liu 439, KED 902."
1048,"*pu-",1771,"1 to spin 2 to twist","1 сучить, прясть 2 выкручивать","p╞- (dial., SKE 203); pi-th╞l-","pёi-th╞▒r-","Nam 269, KED 859. The simple verb is cited from Ramstedt's SKE; in other sources it is only attested as part of a compound with th╞r- 'twist' (v. sub *tok`V)."
1049,"*i█rbЇ█n▒-",  68,"to steal","воровать","","i█rpЇ█n▒-, i█rwЇ█s-","Nam 405."
1050,"*їm",   0,"fang","","","їm",""
1051,"*kЇ█'u▒╢", 968,"moustache, beard","усы, борода","","kЇ'u╢, kЇ█'u▒s","HMCH 205, Nam 35."
1052,"*a█r-",  31,"pretty, beautiful","красивый","ar╞m-tap-","a█ra▀▒m-ta▒p-","Nam 336, KED 1071."
1053,"*tjap- (?)",2390,"to kill, slaughter","убивать, резать (животных)","╢ap- (NKor. tjap-)","","KED 1398 regards the word as a metaphorical variant of ╢ap- 'to hold, catch'; but SKE 23 gives a dialectal form tjap- which might suggest a different origin."
1054,"*tan",2208,"bundle","связка","t░n","\Itan\i","Liu 197, KED 393."
1055,"*ta▀▒i", 398,"place, inside","место, внутренность","\Ite\i","ta▀▒i","Nam 147, KED 454."
1056,"*ka▀█ra▀-", 712,"1 to divide, split 2 to distinguish","1 разделять, расщеплять 2 различать","kar╞- 1, kar▓- 2","ka▀ra▀- 1, ka▀█r-ha▀▒i- 1, 2","Nam 10, 22, KED 11, 13."
1057,"*ka█-", 470,"to take","брать","ka√i-, dial. ka-","ka█-╢i▒-","Nam 8, KED 27, SKE 83."
1058,"*tarh-",2237,"to tire, wear away","уставать, изнашиваться","tal- [talh-]","tarh-","Liu 200, KED 408."
1059,"*╢╞█r╞█-", 247,"to go straightly, take a short way","идти напрямик","╢ir╞-","╢╞█r╞█-","Nam 436, KED 1530."
1060,"*pЇ█t╞▒r",1674,"poplar, willow","тополь, ива","pЇd╞l","pЇ█t╞▒r","Liu 375, KED 759."
1061,"*ur-", 657,"1 enclosure 2 fence 3 cage","1 загон 2 забор 3 клетка","uri 1, 3, ul 2","u█ri▒ 1, u▒rh 2, 3","Liu 592, 595, KED 1238, 1246."
1062,"*a█ta▒╤", 469,"to flatter","льстить","ada╤-ha-","a█ta▒╤-ha▀█-","Nam 335, KED 1069."
1063,"*u█ri▒-",2516,"to steep, soak","вымачивать","uri-","u█ri▒-","Liu 592, KED 1238."
1064,"*ko█p-, *kup-", 883,"to be bent","быть изогнутым","kop-, kup-","ko█p-, kup-","Nam 52, 63, KED 163, 220."
1065,"*pЇ█╢╞▒m",1797,"scab, herpes, ringworm","струп, лишай","pЇ√im","pЇ█╢╞▒m","Nam 255, KED 761."
1066,"*s┼r",2718,"thread, silk thread","нить, шелковая нить","sil","s┼r","Liu 499, KED 1055."
1067,"*po╤'ori",2754,"bud","бутон, головка цветка","po╤ori","po╤'ori","Liu 391, KED 807."
1068,"*ka▒╢i▒", 471,"branch","ветка","ka√i","ka▒╢i▒","Nam 7, KED 26."
1069,"*ko█╢", 523,"flower","цветок","k:ot [k:o╢h]","ko█╢","Nam 54, KED 174."
1070,"*n░t",1411,"cereal","злак","n░t","n░t","Nam 94, KED 302."
1071,"*nЇ█╢hu▒r",1168,"drooping branches","свисающие ветви, лоза","nЇn╢hul","nЇ█╢hu▒r","Nam 104, KED 332."
1072,"*ka█r-", 774,"tiger","тигр","kalbїm","kar-wїm, kar-pЇm","HMCH 185, Nam 19, KED 46. A compound with *pїm 'tiger, leopard' (v. sub *p`uma)."
1073,"*ta█k",2294,"a k. of tree (paper mulberry)","шелковица бумажная (Broussonetia)","tak","ta█k","Liu 197, KED 390."
1074,"*to╤'a▀i",2345,"gad-fly","овод","","to╤'a▀i","Liu 233."
1075,"*╢o█k╞▒i", 320,"gilthead fish (Collichthys fragilis); porgy (sea bream)","вид рыбы","╢ogi","╢o█k╞▒i, ╢jok╞i","Nam 427, 432, KED 1470."
1076,"*si▒n",1964,"footwear","обувь","\Isin\i","si▒n","Liu 498, KED 1047."
1077,"*sЇ█h╞█rЇ█i",1955,"rake, harrow","грабли, борона","s:Їre","sЇ█h╞█rЇ█i",""
1078,"*╢їs",1985,"1 fir tree, Chamaecyparis obtusa Endl. 2 cone, pine nuts","1 вид пихты 2 шишка, сосновые семена","╢їn-namu 1, ╢░t [╢░s] 2","╢Ї▒s-namo 1, ╢░s 2","Liu 646, 653, KED 1400, 1430."
1079,"*ko█ra█i", 885,"whale","кит","kor▓","ko█ra█i","Liu 63, KED 138."
1080,"*su▒ri▒",1891,"eagle, hawk","орел, ястреб","suri","su▒ri▒","HMCH 180, Liu 474, KED 1002."
1081,"*kЇ█thi▒-", 739,"to stumble","спотыкаться","","kЇ█thi▒-","Nam 36."
1082,"*na▀▒ri▒-",1482,"to tie round","обвязывать","n╞ri-","na▀▒ri▒-","Nam 92."
1083,"*ka▒i ( < *kabi)", 993,"inlet, estuary","бухта, устье реки","\Ik▓\i","ka▒i","Liu 33, KED 65."
1084,"*si█sku▒-",1972,"1 to contest, contend 2 to quarrel, be annoying","1 соревноваться, состязаться 2 ссориться, досаждать","sik:╞rЇp- 2","si█sku▒- 1","HMCH 333, Nam 327."
1085,"*pukh",2755,"completely, exhaustively","полностью, целиком","phuk, phok","","KED 1762."
1086,"*╢ja█ka█-",2756,"1 gravel, pebbles 2 mother of pearl","1 галька 2 перламутр","╢agal 1, ╢ag▓ 2","╢ja█ka█i 2, ╢jakai-tor 1","Nam 419, KED 1372."
1087,"*kЇ█hu▒m",1075,"jaw","челюсть","","kЇ█hu▒m","Nam 36."
1088,"*ka█sa▀█m", 991,"breast","грудь","kas╞m","ka█sa▀█m","Nam 5, KED 20."
1089,"*sku▒-m",2001,"dream","сон","k:um","sku▒-m","Nam 63, KED 219."
1090,"*ku█ri█-", 810,"be smelly, stinking","вонять, пахнуть","kori-, kuri-","ku█ri█-","Liu 83, KED 200."
1091,"*k╞█n▒-", 879,"1 to pull, drag 2 to draw 3 stroke, drawn line","1 тащить, тянуть 2 чертить 3 черта, проведенная линия","k:╟l- 1, k╟t- [k╞s-] 2","k╞█n▒- 2, k╞█n▒-, k╞█n▒╞█-, sk╞█n▒- 1 (with sk- representing expressive gemination), k╞█s ( = *k╞█n▒) 3","Nam 69, 75, KED 247, 257."
1092,"*t┼ro╤",2757,"worm, earth-worm","червь, земляной червь","╢┼rЇ╤i","tiro╤'i, tirjo╤, tirjo╤'i","Liu 260, KED 1529."
1093,"*╢╞█r-", 261,"slushy, watery","водянистый, жидкий","╢il-","╢╞█r-","Nam 439, KED 1551."
1094,"*ta█po█k-", 376,"thick, luxurious","густой, пышный","tabok-, taborok-","ta█po█k-","Nam 130, KED 385."
1095,"*╢╞r╞- ( ┌ -i-)",2631,"to skim off (as cream), cut off","снимать (сливки и т. п.), срезать","╢ir╞-","","KED 1530."
1096,"*Ї█skЇ▒i", 437,"shoulder","плечо","Їk:▓","Ї█skЇ▒i","Nam 369, KED 1121."
1097,"*kari-", 708,"1 heap, stack 2 to pile up","1 куча, стог 2 накладывать","kari 1, kari- 2","kari 1","Liu 19, KED 13, 14."
1098,"*p╞█th-", 215,"to be attached","быть прикрепленным, прицепленным","\Iput-\i [puth-]","p╞█th-","Nam 275, KED 846."
1099,"*nu█r╞▒-",1502,"to press, repress","давить, подавлять","nёr╞-","nu█r╞▒-","Liu 162, KED 357."
1100,"*sa█ki▒-",1899,"to carve, engrave","вырезать, гравировать","s▓gi-","sa█ki▒-","Nam 282, KED 920."
1101,"*s░i-",1885,"to dawn","рассветать","s┤-","s░i-","Nam 295, KED 921."
1102,"*mo█n╢jЇ▒(i)",2644,"first of all","сначала, прежде всего","mЇn√Ї","mo█n╢jЇ▒(i)","Nam 217, KED 612."
1103,"*ps╞▒-",1867,"to use","употреблять, использовать","s:╞-","ps╞▒-","Nam 319, KED 1023."
1104,"*ps╞▒-",1809,"to write","писать","s:╞-","ps╞-, ss╞▒-, s╞▒-","Liu 484, KED 1023."
1105,"*so█╤'i█",2113,"1 lotus seed 2 bud, bunch","1 семя лотоса 2 почка, гроздь","so╤i, so╤ari 2","so█╤'i█ 1","Nam 310, KED 994."
1106,"*tam╞r-",2371,"to close the mouth, be silent","закрывать рот, молчать","tamul-","tam╞r-","Liu 193, KED 385."
1107,"*pu█ro█", 144,"salad, Lactuca","салат-латук","puru","puro, pu█ru█","Liu 394, KED 813."
1108,"*ko█rho▒i", 522,"ring, bracelet","кольцо, браслет","kori","ko█rho▒i","Nam 51, KED 140."
1109,"*kjЇ█d-", 820,"to weave, plait","ткать, заплетать","kjїt- (-r-)","kjЇ█t- (-r-)","Liu 56, KED 115."
1110,"*k╞rk-", 930,"to run away, to escape","убегать, спасаться бегством","k╞k- [k╞lk-]","","SKE 115."
1111,"*utu",1588,"1 head 2 top of head","1 голова 2 темя, верхушка головы","udu-mЇri 2","utu 1","Liu 591, KED 1237."
1112,"*╢░r", 232,"sable","соболь","╢░l","","KED 1392."
1113,"*ka▀█n▒a▀▒i",1005,"scissors","ножницы","kawi","ka▀█n▒a▀▒i","Nam 14, KED 23."
1114,"*kїr-", 539,"to be smoked","коптить(ся)","kїl-","","KED 97 (derives from k╞╞l- < *k╞█n▒╞█r- q. v. sub *k`u█n▒e), which is phonetically implausible."
1115,"*kЇ█pu▒p", 792,"turtle","черепаха","kЇbuk","kЇ█pu▒p","Nam 32, KED 85."
1116,"*ko╢i",1052,"milt, roe","молоки минтая","ko√i","",""
1117,"*no█h",1167,"string","тесемка, веревка","\Ino\i","no█ (no█h-)","Nam 110, KED 338."
1118,"*n╞█r╞▒p",1458,"elm","вяз","n╞r╞p","n╞█r╞▒p","Nam 118, KED 366."
1119,"*nam╞ra-",1468,"to curse, swear","ругать","namura-","nam╞ra-","Nam 88, KED 289."
1120,"*kЇr╞m",1132,"dung","навоз, удобрения","kЇr╞m","","KED 82 (derivation from kїl- 'fertile' is irregular and probably folk-etymological)."
1121,"*umur-", 664,"to crowd, cluster","собираться в кучу, кишеть","umul-umul-ha-, omul-kЇri-","umur-umur","Liu 593, KED 1200, 1239."
1122,"*ї╤tЇ╤'i",2525,"ass, behind","задница, зад","ї╤dЇ╤i","Ї╤tЇ╤'i","Liu 558, KED 1154."
1123,"*ori-",2514,"to mince, cut small","размельчать, мелко резать","ori-","ori-","Liu 576, KED 1199."
1124,"*njЇ█p",1483,"side","сторона","jЇp(h)","njЇ█p","Nam 109, KED 1189."
1125,"*ph╞▒-",2797,"to emit, spread","испускать, распространять","phi-","ph╞▒-","Nam 464, KED 1772."
1126,"*╢apa- ( ┌ -a▀-)",2675,"rags, odd ends of paper or cloth","тряпка, лоскутья","╢ab▓gi","","KED 1379."
1127,"*╢(j)apa-", 316,"earthenware jar, bowl","глиняный кувшин","╢ab▓gi","","KED 1379."
1128,"*o█rmi▒", 448,"a k. of grass","вид травы","olmi-phul","o█rmi▒","Liu 580."
1129,"*psa▀▒-",1631,"hail","град","","psa▀▒-nёn","Nam 289. Connection with psa▀▒r 'rice' ("rice-snow") cannot be excluded, cf. also the modern form s:aragi-nёn."
1130,"*sjЇ▒m",2052,"straw bag, measure of grain","соломенный мешок, мера зерна","sЇm","sjЇ▒m","Nam 305, KED 953."
1131,"*kor-", 520,"acacia, Caragana ussuriensis","акация","koldam-╢ho","",""
1132,"*koro-", 846,"a k. of maple","вид клена","koroswe-namu","",""
1133,"*mi█na█ri▒",1295,"celery, parsley","сельдерей, петрушка","minari","mi█na█ri▒","Liu 345, KED 687."
1134,"*ko█r'oa█╤'i▒",1016,"snail","улитка","","ko█r'oa█╤'i▒","Nam 51."
1135,"*m╞▒i-",2758,"1 to tear a hole 2 to get torn","1 прорывать дыру 2 разрываться","m┼- 1, 2, mii- 2","m╞▒i- 2","Liu 344, KED 687."
1136,"*╢jЇp╞i-",2579,"wormwood","полынь","╢ebi-s:ok, ╢ebi-k:ol","╢jЇp╞i-skor","Liu 655, KED 1464."
1137,"*ka▀▒ra█╢", 729,"Setaria viridis; Lolium temulentum","Setaria viridis; Lolium temulentum","kara√i","ka▀▒ra█s","Nam 11, KED 10."
1138,"*p░m",1763,"chestnut","каштан","pam","p░m","Nam 248, KED 733."
1139,"*╞r╞-", 689,"to scare, threaten, menace","угрожать, пугать","╞r╞-","","KED 1285."
1140,"*sa▀█n▒i▒",1910,"space between, interval","промежуток","sai","sa▀█n▒i▒","Nam 288, KED 881."
1141,"*╢ori-", 344,"oak tree","дуб","╢ori╢ham-namu","╢ori╢ham-namo","Liu 662, KED 1472."
1142,"*pa▀█i",1817,"pear","груша","\Ip▓\i","pa▀█i","Nam 251, KED 743."
1143,"*nЇk-",1184,"roots and stalks (of water plants)","корни и стебли (водных растений)","nЇgЇp","nЇks","Nam 104, KED 329."
1144,"*nar- ( ┌ -a▀-)",1505,"be in a row, side by side","быть друг рядом с другом","naran-ha-","","KED 287."
1145,"*thi",2611,"fish (a suffix in fish names)","рыба (суффикс в назв. рыб)","kamul-╢hi 'eel', sam-╢hi 'mackerel' etc.","ka█mo▒-thi█ etc.",""
1146,"*sa▀█r-",1902,"to disappear, vanish","пропадать, исчезать","sara-√i-","sa▀█r-","Nam 291, KED 871."
1147,"*ta▀█tho▒-",2645,"to fight, struggle","биться, сражаться","tathu-","ta▀█tho▒-","Nam 137, KED 389."
1148,"*ur", 673,"clan, relatives","род, родня","ul","","KED 1246."
1149,"*╢jЇ█m╞▒r-",2647,"to become dark","темнеть","╢Їmul-","╢jЇ█m╞▒r-","Nam 424, KED 1420."
1150,"*pa▀█rk-", 118,"bright","светлый","pak- [palk-]","pa▀█rk-","Nam 247, KED 732."
1151,"*puruk", 136,"bull-calf","бычок","puruk-so (so 'cow'), purugi","","KED 813."
1152,"*ka█╢i▒",2652,"kind, sort, variety","вид, разновидность","ka√i","ka█╢i▒","Nam 8, KED 26."
1153,"*k░m",2654,"persimmon","хурма","k░m","k░m","Liu 29, KED 49."
1154,"*m╞█n▒╞▒i-",1308,"to be afraid, scared","бояться","musЇp- (-w-)","m╞█n▒╞▒i-, m╞█n▒╞▒ijЇ▒p- (-w-)","Nam 228, KED 660."
1155,"*k╞█r╞█mЇ▒i",2678,"shadow","тень","k╞rim√a","k╞█r╞█mЇ▒i, k╞█ri█mЇ▒i","Nam 67, 68, KED 237."
1156,"*t░ma▀▒i-n", 233,"rarely, only","редко, только, всего лишь","taman","t░ma▀▒in","Nam 130, KED 384."
1157,"*pa▀█ta▀█i",2681,"comb of a loom","гребень ткацкого станка","padi","pa▀█ta▀█i","Nam 240."
1158,"*p╞█n▒Ї█k",1680,"kitchen","кухня","puЇk [puЇkh]","p╞█n▒Ї█k, p╞n▒Їp","Nam 271, KED 817."
1159,"*Їr-",2682,"enough, sufficiently, nearly","достаточно, почти","Їl-╢hu","Їru, Їro","Nam 360, KED 1146."
1160,"*ka█rm-", 727,"1 to keep, preserve 2 to wash the dead, bury","1 хранить 2 обмывать покойника, хоронить","kam-╢hu- 'to hide'","ka█rm- 1, 2","Nam 22, KED 50."
1161,"*so█t-",2086,"to throw out, pour out, empty","выбрасывать, выливать, опустошать","\Is:ot-\i","so█t-","Nam 310, KED 990."
1162,"*o█ra▒i",1581,"door, gate","дверь, ворота","or▓ (arch.)","o█ra▒i","Nam 380, KED 1198."
1163,"*╥r-",2517,"completely, wholly","совершенно, полностью","oro-√i","╥ro▒","Nam 380, KED 1198."
1164,"*ak-su",   6,"heavy rain","ливень","aksu, Їksu","","KED 1080."
1165,"*n╥r-ra-",1532,"be startled, frightened, terrified","пугаться","nolla-","n╥rra▒-","Liu 158, KED 348."
1166,"*pak- ( ┌ -a▀-)",1823,"boiling, bubbling","пузырящийся, кипящий","pag╞l- / pЇg╞l- / pog╞l-","","KED 703."
1167,"*mi█si▒", 294,"a k. of gruel, mixed water and rice flour","вид каши, вода, смешанная с рисовой мукой","misi","mi█si▒","Nam 233, KED 690."
1168,"*to▒i",2378,"a measure of capacity (1/10 mal); measuring basket","мера емкости","twe","to▒i","Nam 161, KED 496."
1169,"*th╞- / *thЇ-",2602,"1 reel, spool 2 to spin, turn round","1 катушка 2 крутить","\Ithe\i 1, th╞l- 2","thЇi 1, th╞█r- 2","Liu 713, 718, KED 1704, 1724."
1170,"*tu█tЇ▒n",2716,"hill, elevation","холм, возвышенность","tudЇ╤, tudЇk","tu█tЇ▒n","Nam 163, KED 503."
1171,"*sam-",2725,"mackerel","макрель","sam-╢hi","","KED 905."
1172,"*a█'o▒k",2729,"marsh-mallow","алтей аптечный или лекарственный (Althaea officinalis)","\Iauk\i","a█'o▒k","Nam 340, KED 1076."
1173,"*turumaki",2731,"overcoat","плащ","turumaki","","KED 504 (says "a compound noun" - but the components are unclear)."
1174,"*k╞█r╞▒s",2737,"vessel","сосуд","k╞r╞t [k╞r╞s]","k╞█r╞▒s","Liu 98, KED 236."
1175,"*nёb-", 638,"to wash in limewater, bleach","мыть в известковой воде","nёp- (nuw-)","","KED 365."
1176,"*ko█ma▒-b-",1031,"to be thankful, appreciate","быть благодарным, ценить","komap- (komaw-)","ko▒ma▒p- (ko▒ma▒w-)","Nam 47, KED 141."
1177,"*kjЇru-", 477,"to compete, contend","состязаться, соревноваться","kjЇru-","","KED 111."
1178,"*muk",1338,"1 jelly 2 coarse flour (left in the sieve)","1 желе 2 грубая мука (остающаяся в сите)","muk 1, mugЇri 2","","KED 652, 668."
1179,"*kёr-", 987,"to blow","дуть","","kёr-","Nam 62."
1180,"*tjЇ▒r", 355,"temple","храм","╢Їl","tjЇ▒r","Nam 155, KED 1441. Kor. > OJ tera (*tia▒ra█), see JLTT 545. {Cf. also Chur. taj-ra id.}"
1181,"*pa▀▒rh", 636,"fly","муха","ph░ri","pha▀▒r, pha▀▒ri█","Nam 462, KED 1730."
1182,"*sЇ▒ri",1956,"interval, space","интервал, промежуток","sЇri (arch.)","sЇ▒ri█","Nam 299, KED 936."
1183,"*tЇr-mi",2766,"counter, scruff","затылок, загривок, шиворот","tЇlmi","","KED 449."
1184,"*o█'a▀▒-", 317,"whole, complete","целый, быть целым","","o█'a▀▒-n, o█'a▀▒r-","Nam 381."
1185,"*Ї█'ui▒-", 457,"to be broad, wide, extensive","быть широким, протяженным","","Ї█'ui▒-","Nam 364."
1186,"*ho█k-",2000,"small, few","","","ho█k-","Nam 492."
1187,"*mi█╢h╞▒-",1297,"to reach, come to","достигать","mi╢hi-","mi█╢h╞▒-, mi╢h-","Liu 346, 348, KED 693."
1188,"*╢ja█ka▒i-", 264,"groin, inguinal region","пах, паховая область","╢ag▓mi","╢ja█ka▒i'ja▒m","Nam 419, KED 1372."
1189,"*omi",  71,"land sink, pool","впадина (заполненная водой), лужа","omi","","KED 1200."
1190,"*╢a▀mh",2765,"oak-tree","вид дуба","╢ham-namu","╢ha▀m-nam'u","Liu 692, KED 1571."
1191,"*ka▒r",2767,"1 peaked hat 2 rain-cover for a hat","1 конусообразная шапка 2 покрытие для шапки (для защиты от дождя)","kok:al 1, kal-mo 2","ko█s-ka▒r 1","Liu 73, KED 45, 134. For the component ko█s- cf. *ka▒s 'hat' (although vowel variation is not  clear)."
1192,"*h╞█r╞█-",2768,"to flow","течь","h╞r╞-","h╞█r╞█-","Nam  496, KED 1890."
1193,"*supuk-",1948,"to heap up, heaping up","нагромождать, накладывать с верхом","subuk-ha-, sobok-ha-","supuk-","Liu 474, KED 1003."
1194,"*m░i", 975,"falcon","сокол","\Im┤\i","m░i","Nam 206, KED 596."
1195,"*╢ї╤ ( ┌ *╢jї╤)",2770,"chisel","зубило","╢ї╤","","KED 1450."
1196,"*jїr-",2771,"to weave, tie together","ткать, связывать","","jїr-","Liu 566."
1197,"*oku", 628,"a k. of fish-trap basket","корзина, сачок для ловли рыбы","ogu","","KED 1195."
1198,"*kЇ█s╞▒r-", 737,"to oppose, defy","противостоять, пренебрегать","kЇs╞r╞-","kЇ█s╞▒r-","Liu 42, KED 85."
1199,"*ta█si▒",2384,"again","опять, снова","tasi","ta█si▒","Liu 195, KED 386."
1200,"*╞r╞m", 446,"clematis berries, akebi seed","плод акабии","╞r╞m","","KED 1285."
1201,"*ti█p",2783,"straw","солома","╢ip","ti█p",""
1202,"*pa▀█n▒a▀█-",1870,"to crush, break","ломать, разламывать","pasu-","pa▀█n▒a▀█-","Nam 242."
1203,"*n╞rЇ-",2547,"female deer, doe","косуля, важенка","n╞rЇ╤i","","KED 366."
1204,"*ti█p(h)-",2801,"1 to carry a cane, stick 2 walking stick","1 нести палку, шест 2 посох, палка","╢ip- (╢iph-) 1, ╢iph▓╤i 2","ti█p-  1","KED 1538, 1559."
1205,"*╢(j)╥╤", 270,"slave","раб","╢╥╤","╢j╥╤","Nam 433, KED 1483."
1206,"{*i╤a", 643,"warp threads","нити утка","i╤a","i╤a","Nam 402, KED 1370.}"
