"NUMBER","CHARREF","CHARACTER","MCINFO","ZIHUI","BEIJING","JINAN","XIAN","TAIYUAN","HANKOU","CHENGDU","YANGZHOU","SUZHOU","WENZHOU","CHANGSHA","SHUANGFENG","NANCHANG","MEIXIAN","GUANGZHOU","XIAMEN","CHAOZHOU","FUZHOU","SHANGHAI","ZHONGYUAN"
2406,4827,"壞","蟹合二去怪匣","0975 1128","xuai 3","xuɛ 3","xuɛ 3","xuai 3","xuai 3","xuai 3","xuɛ 3","ɦue̲ 32 (lit.); ɦua̲ 32","va 32","fai 32","ɣua 32","фuai 32","fai 3","uāi 32","huai 32","huai 22","xuai 32","ua 32","xuai 3"
2407,4828,"壟","通合三上腫來","8263 2642","luŋ 2","luŋ 2","loŋ 2","luŋ 2","noŋ 2","noŋ 2","lɔuŋ 2","loŋ 32","loŋ 22","noŋ 2","naŋ 2; nən 2","luŋ 2","luŋ 2","luŋ 22","lɔŋ 2","leŋ 21","luŋ 2","",""
2408,4830,"寵","通合三上腫徹","1404 2676","c̣huŋ 2","c̣huŋ 2","pfhoŋ 2","chuŋ 2","choŋ 2","choŋ 2","chɔuŋ 2","choŋ 2","ćhyoŋ 21","c̣hoŋ 2","ćhin 2","chuŋ 2","chuŋ 2","čhuŋ 21","tiɔŋ 2","choŋ 21","thuŋ 2","choŋ 3","čhiuŋ 2"
2409,4834,"懷","蟹合二平皆匣","2037 1126","xuai 12","xuɛ 12","xuɛ 12","xuai 1","xuai 12","xuai 12","xuɛ 12","ɦue̲ 12 (lit.); ɦua̲ 12","va 12","fai 12","ɣua 12","фuai 31","fɔi 12","uāi 12","huai 12 (lit.); kui 12","huai 12","xuai 12","ua 32","xuai 12"
2410,4835,"懶","山開一上旱來","2036 1693","lan 2","lã 2","lã 2","lä̃ 2","nan 2","nan 2","lɛ̃ 2","le̲ 32","la 22","nan 2","nã 2","lan 2","nan 11","lān 22","lan 2","laŋ 21","laŋ 2","le̲ 32","lan 2"
2411,4837,"攀","山開二平刪滂","2372 1636","phan 11","phã 11","phã 11","phä̃ 1","phan 11","phan 11","phɛ̃ 11","phe̲ 11","pha 11","phan 11","phã 11","phan 11","phan 11","phān 11","phan 11","paŋ 11","phaŋ 11","phe̲ 1","phan 1"
2412,4838,"攏","通合一上董來","2379 2641","luŋ 2","luŋ 2","loŋ 2","luŋ 2","noŋ 2","noŋ 2","lɔuŋ 2","loŋ 32","loŋ 22","noŋ 2","naŋ 2; nən 2","luŋ 2","luŋ 2","luŋ 22","lɔŋ 2","loŋ 21","luŋ 2","loŋ 32","luŋ 3"
2413,4844,"櫓","遇合一上姥來","2924 0821","lu 2","lu 2","lou 2","lu 2; lou 2","nou 2","nu 2","lu 2","ləu 32","ləu 22","nôu 2","nəu 2","lu 2","lu 11","lou 22","lɔ 2","lu 21","lu 2","",""
2414,4852,"爆","效開二去效幫","3615 1282","pau 3","pɔ 3","pau 3","pau 3","pau 3","pau 3","pɔ 3","bä 32","bз 32","pau 31","pə 31","pau 31","pau 3","pāu 31","piak 32","pau 31","pɔ 31","pɔ 3","pau 3"
2415,4854,"牘","通合一入屋定","3658 0796","tu 12","tu 12","tou 12","tuəʔ 42","tou 12","tu 12","tɔʔ 4","doʔ 42","du 42","tôu 4","thəu 31","thuk 41","thuk 42","tuk 42","tɔk 42","tok 42","tuʔ 42","zoʔ 42","tu 41"
2416,4856,"獸","流開三去宥書","3751 1545","ṣou 3","ṣou 3","ṣou 3","sou 3","sou 3","səu 3","sôɨ 3","söy 31","śiu 31","ṣôu 31","śiû 31","səu 31","chu 2","šau 31","siu 31","siu 31","sieu 31","sôɨ 3","šiou 3"
2417,4859,"瓊","梗合三平清群","3890 2714","ćhyŋ 12","ćhyŋ 12","ćhyŋ 12","ćhyŋ 1","ćhyn 12","ćhyn 12","ćhiɔuŋ 12","ʒ́ioŋ 12","ʒ́yoŋ 12","ćyn 12","duən 12","ćhiuŋ 12","khiun 12","khîŋ 12","khîŋ 12","kheŋ 12","kiŋ 12","ćioŋ 32","khyəŋ 12"
2418,4862,"疆","宕開三平陽見","3984 2326","ćiaŋ 11","ćiaŋ 11","ćiaŋ 11","ćiã̲ 1","ćiaŋ 11","ćiaŋ 11","ćiâŋ 11","ćiaŋ XH","ći 11","ćian 11","ćiaŋ 11","ćiɔŋ 11","kiɔŋ 11","kö̲ŋ 11","kiɔŋ 11","kiaŋ 11","kyɔŋ 11","ćiã 1","kiaŋ 1"
2419,4865,"礙","蟹開一去代疑","4293 1112","ai 3","ŋɛ 3","ŋɛ 2","ŋai 3","ŋai 3","ŋai 3","ɛ 3","ŋe̲ 32","ŋe̲ 32","ŋai 31 (lit.); ŋai 32","ue 2","ŋai 32","ŋɔi 3","ŋɔi 32","gai 32","gai 32","ŋai 32","ŋe̲ 32",""
2420,4866,"禱","效開一上皓端","4411 1304","tau 2","tɔ 2","tau 2","tau 2","tau 2","tau 2","tɔ 2","tä 2","tз 21","tau 2","tə 2","tau 2","tau 2","tou 21","to 2","tau 21","tɔ 2","tɔ 3","tau 2"
2421,4868,"穩","臻合一上混影","4489 2198","uən 2","uẽ 2","uẽ 2","vuŋ 2","uən 2","uən 2","uən 2","uən 2","y 21","uən 2","uən 2","un 2","vun 2","uan 21","un 2","uŋ 21","uŋ 2","uəŋ 3","uən 2"
2422,4869,"簾","咸開三平鹽來","4685 1812","lian 12","liã 12","liã 12","liɛ 1","nian 12","nian 12","lî̃ 12","lî 12","li 12","niẽ 12","nî̃ 12","liɛn 31","liam 12","lim 12","liam 12","liəm 12","lieŋ 12","",""
2423,4870,"簿","遇合一上姥並","4689 0737","pu 3","pu 3","pu 3","pu 3","pu 3","pu 3","pu 3","bu 32","bu 22","pu 32","bu 32","phu 32","phu 11","pou 32","phɔ 32","phou 22","puɔ 32","pu 32","pu 3"
2424,4871,"簸","A: 果合一上果幫; B: 果合一去過幫","A: 4684 0225; B: 4684 0226","A: po 2; B: po 3","A: pə 2; B: pə 3","A: po 2; B: po 3","A: pə 2; B: pə 3","A: po 3; B: po 3","A: po 2; B: po 2","A: po 2; B: po 2","A: pu 11; B: pu 11","A: ; B:","A: po 2; B: po 31","A: pû 11; B: pû 11","A: po 11; B: po 31","A: pɔ 11; B: pɔ 3","A: pɔ 21; B: pɔ 31","A: pɔ 31 (lit.); pua 31; B: pɔ 31 (lit.); pua 31","A: pua 31; B: pua 31","A: pɔ 11; B: pɔ 31 (lit.); pua 11","A: pu 1; B: pu 1","A: puo 2; B: puo 3"
2425,4872,"簽","咸開三平鹽清","4687 1857","ćhian 11","ćhiã 11","ćhiã 11","ćhiɛ 1","ćhian 11","ćhian 11","ćhĩ̲ 11","chî 11","ćhi 11","chiẽ 11","ćhî̃ 11","ćhiɛn 11","chiam 11","čhim 11","chiam 11","chiəm 11","chieŋ 11","",""
2426,4873,"簷","咸開三平鹽以","4783 1898","ian 12","iã 12","iã 12","iɛ 1","ian 12","ian 12","î̃ 12","î 12","ɦi 12","iẽ 12","î̃ 12","iɛn 31","jam 12","jim 12","liam 12","iəm 12","sieŋ 12","iî 32","iem 12"
2427,4876,"繭","山開四上銑見","4942 1842","ćian 2","ćiã 2","ćiã 2","ćiɛ 2","ćian 2","ćian 2","ćî̃ 2","ćî 2","ći 21","ćiẽ 2","ćî̃ 2","ćiɛn 2","kian 2","kān 21","kan 2","koĩ 21","cieŋ 2","ćî 3","kien 2"
2428,4878,"繩","曾開三平蒸船","4939 2487","ṣəŋ 12","ṣəŋ 12","ṣəŋ 12","səŋ 1","sən 12","suən 12","sən 12","zən 12","zeŋ 12","ṣən 12","ɣin 12","sən 31","sun 12","šîŋ 21","cin 12; sîŋ 12 (lit.)","siŋ 11","siŋ 11","zəŋ 32","šiəŋ 12"
2429,4879,"繪","蟹合一去泰匣","4940 1238","xuei 3","xuei 3","xuei 3","xuei 3","xuei 3","xuei 3","xuəi 3","ɦue̲ 32","vai 32","fei 31 (lit.); fei 32","ɣue 32","фui 32","fi 3","khui 21","ui 32","hue 22","xuei 32","ue̲ 32","kuei 3"
2430,4880,"羅","果開一平歌來","5012 0263","luo 12","luə 12","luo 12","luə 1","no 12","no 12","lo 12","ləu 12","ləu 12","no 12","nû 12","lo 31","lɔ 12","lɔ 12","lo 12","lo 12","lɔ 12","lou 32","luo 12"
2431,4883,"羹","梗開二平庚見","5036 2498","kəŋ 11","kəŋ 2","kəŋ 11","kəŋ 1","kəŋ 11","kən 11","kən 11","kən 11 (lit.); kaŋ 11","kiɛ 11","kən 11","kiɛ̃ 11","kɛn 11","kaŋ 11","kaŋ 11","kîŋ 11 (lit.); kĩ 11","kẽ 11","keiŋ 11","kã 1","kiəŋ 1"
2432,4885,"臘","咸開一入盍來","5248 0044","la 3","la 3","la 11","laʔ 41","na 12","na 12","laʔ 4","laʔ 42","la 42","na 4","na 12","lat 41","lap 42","lāp 42","liap 42","laʔ 42","laʔ 42","laʔ 42","la 43"
2433,4887,"藝","蟹開三去祭疑","5669 0719","i 3","i 3","i 3","i 3","i 3","ńi 3","i 3","ńi 32","ńi 32","ńi 31 (lit.); ńi 32","ńi 32","ńi 32","ńi 3","ŋai 32","ge 32","goi 32","ŋie 32","ńi 32",""
2434,4889,"藕","流開一上厚疑","5665 1571","ou 2","ŋou 2","ŋou 2","ŋou 2","ŋou 2","ŋəu 2","ôɨ 2","ŋöy 32","ŋau 22","ŋôu 2","ŋie 2","ńiəu 2","ŋɛu 2","ŋau 22","ŋaũ 32","ŋou 21","ŋau 32","ŋô 32","ou 2"
2435,4890,"藤","曾開一平登定","5671 2444","thəŋ 12","thəŋ 12","thəŋ 12","thəŋ 1","thən 12","thən 12","thəŋ 12","dən 12","daŋ 12","tən 12","diɛ̃ 12","thɛn 12","thɛn 12","thaŋ 12","tîŋ 12","tiŋ 12","teiŋ 12","təŋ 32","thəŋ 12"
2436,4891,"藥","宕開三入藥以","5673 1494","iau 3","ye 3","yo 11","yəʔ 41","io 12","yo 12","iaʔ 4","ia̲ʔ 42","ɦia 42","io 4","iû 12","iɔk 41","jɔk 42","jö̲k 42","iɔk 42 (lit.); ioʔ 42","ieʔ 42","yɔʔ 42","iaʔ 42","iau 43"
2437,4894,"蠅","曾開三平蒸以","5859 2606","iŋ 12","iŋ 12","iŋ 12","iŋ 1","in 2","in 11","ĩ 11","in 11","iaŋ 11","in 11","ɣin 12","in 31","jin 12","jîŋ 12","sîŋ 12 (lit.); sin 12","siŋ 12","siŋ 12","iiŋ 1","iəŋ 12"
2438,4895,"蟹","蟹開二上蟹匣","5851 0372","śie 3","śiä 3","śie 3","śiɛ 3","xai 2","śiai 3","śiɛ 3","ha̲ 2","xa 21","xai 2","xa 2; ɣa 32","hai 2","hai 2","hāi 22","hai 32","hoi 22","xa 32","ha 3","xiai 2"
2439,4898,"襟","深開三平侵見","5992 2115","ćin 11","ćiẽ 11","ćiẽ 11","ćiŋ 1","ćin 11","ćin 11","ćĩ 11","ćin XH","ćiaŋ 11","ćin 11","ćin 11","ćin XH","khin 11","kham 11","khim 11","khim 11","khiŋ 11","ćiŋ 1","kiəm 1"
2440,4899,"襖","效開一上皓影","5984 1402","au 2","ŋɔ 2","ŋau 2","ŋau 2","ŋau 2","ŋau 2","ɔ 2","ä 2","з 21","ŋau 2","ŋə 2","ŋau 2","au 2","ou 21","o 2","o 32","ɔ 2","ɔ 3","au 2"
2441,4902,"譜","遇合一上姥幫","6225 0748","phu 2","phu 2","phu 2","phu 2","phu 2","phu 2","phu 2","pu 2","po̲y 21","phu 2","phu 2","phu 2","phu 2","phou 21","phɔ 2","phou 21","phuɔ 2","phu 3","phu 2"
2442,4903,"識","曾開三入職書","6221 0498","ṣî̲ 12","ṣî̲ 11","ṣî̲ 11","səʔ 41","si̲ 12","si̲ 12","səʔ 4","sôʔ 41","sei 41","ṣî̲ 4","ṣî̲ 12","sət 41","sət 41","šîk 41","sîk 41","sek 41","seiʔ 41","sôʔ 4","ši 42"
2443,4905,"譚","咸開一平覃定","6223 1671","than 12","thã 12","thã 12","thä̃ 1","than 12","than 12","thɛ̃ 12","de̲ 12","da 12","tan 12","dã 12","than 12","tham 12","thām 12","tam 12","tham 12","taŋ 12","te̲ 32","tham 12"
2444,4907,"譏","止開三平微見","6217 0627","ći 11","ći 11","ći 11","ći 1","ći 11","ći 11","ći 11","ći 11","ci̲ 11","ći 11","ći 11","ći 11","ki 11","kei 11","ki 11","ki 11","ki 11","",""
2445,4910,"贈","曾開一去嶝從","6362 2452","cəŋ 3","cəŋ 3","cəŋ 3","cəŋ 3","cən 3","cən 3","cən 11","zən 32","zaŋ 32","cən 31","ćhiɛ̃ 31","chɛn 32","cɛn 3","čaŋ 32","cîŋ 32","caŋ 32","caiŋ 32","cəŋ 1","cəŋ 3"
2446,4911,"贊","山開一去翰精","6363 1697","can 3","cã 3","cã 3","cä̃ 3","can 3","can 3","cɛ̃ 3","ce̲ 31","ca 31","can 31","cã 31","can 31","can 3","čān 31","can 31","caŋ 31","caŋ 31","ce̲ 3","can 3"
2447,4920,"轎","笑開三去笑群","6569 1459","ćiau 3","ćiɔ 3","ćiau 3","ćiau 3","ćiau 3","ćiau 3","ćiɔ 3","ʒ́iä 32","ʒ́iɛ 32","ciau 31","ʒ́iə 32","ćhiɛu 32","khiau 3","kiu 32","kiau 32","kie 32","kieu 32","ćiɔ 32","kiau 3"
2448,4921,"辭","止開三平之邪","6588 0418","chi̲ 12","chi̲ 12","si̲ 12","chi̲ 1","chi̲ 12","chi̲ 12","chi̲ 12","zi̲ 12","zi̲ 12","ci̲ 12","ʒi̲ 12","chi̲ 12","chi̲ 12","čhi 12","su 12 (lit.); si 12","si̲ 12","sy 12","zi̲ 32","si̲ 12"
2449,4922,"邊","山開四平仙幫","6708 1771","pian 11","piã 11","piã 11","piɛ 1","pian 11","pian 11","pî̃ 11","pî 11","pi 11","piẽ 11","pî̃ 11","piɛn 11","piɛn 11","pin 11","pĩ 11","pieŋ 11","pieŋ 11","pî 1","pien 1"
2450,4925,"鏡","梗開三去映見","6975 2573","ćiŋ 3","ćiŋ 3","ćiŋ 3","ćiŋ 3","ćin 3","ćiŋ 3","ćĩ 3","ćin 31","ćiaŋ 31","ćin 31","ćin 31","ćin 31 (lit.); ćiaŋ 31","kiaŋ 3","kɛŋ 31","kîŋ 31 (lit.); kiã 31","kiã 31","kiaŋ 31","ćiŋ 3","kiəŋ 3"
2451,4927,"鏟","山開二上產初","6980 1724","c̣han 2","c̣hã 2","chã 2","chä̃ 2","chan 2","chuan 2","chɛ̃ 2","che̲ 2","cha 21","chan 2","chã 2","chan 2","chan 2","čhān 21","chan 2","chaŋ 21","chaŋ 2","che̲ 3","čhan 2"
2452,4939,"關","山合二平刪見","7070 1957","kuan 11","kuã 11","kuã 11","kuä̃ 1","kuan 11","kuan 11","kuɛ̃ 11","kue̲ 11","ka 11","kuan 11","kuã 11","kuan 11","kuan 11","kuān 11","kuan 11 (lit.); kuaĩ 11","kueŋ 11","kuɔŋ 11 (lit.); kuaŋ 11","kue̲ 1","kuan 1"
2453,4940,"隴","通合三上腫來","7150 2642","luŋ 2","luŋ 2","loŋ 2","luŋ 2","noŋ 2","noŋ 2","lɔuŋ 2","loŋ 32","loŋ 22","noŋ 2","naŋ 2; nən 2","luŋ 2","luŋ 2","luŋ 22","lɔŋ 2","leŋ 21","luŋ 2","loŋ 32","liuŋ 2"
2454,4941,"難","A: 山開一平寒泥; B: 山開一去翰泥","A: 7181 1684; B: 7181 1685","A: nan 12; B: nan 3","A: nã 12; B: nã 3","A: nã 12; B: nã 3","A: nä̃ 1; B: nä̃ 1","A: nan 12; B: nan 3","A: nan 12; B: nan 3","A: nɛ̃ 12; B: nɛ̃ 3","A: ne̲ 12; B: ne̲ 32","A: na 12; B: na 32","A: nan 12; B: nan 31","A: nã 12; B: nã 12","A: lan 31; B: lan 32","A: nan 12; B: nan 3","A: nān 12; B: nān 32","A: lan 12; B: lan 32","A: laŋ 12; B: laŋ 32","A: naŋ 12; B: naŋ 32","A: ne̲ 32; B: ne̲ 32","A: nan 12; B: nan 3"
2455,4943,"霧","遇合三去遇微","7212 0948","u 3","u 3","vu 3","vu 3","u 3","vu 3","u 3","vu 32","vo̲y 32","u 31 (lit.); u 32","əu 32","u 32","vu 3","mou 32","bu 32","bu 32","ou 31","ɦu 32","vu 3"
2456,4946,"韻","臻合三去問云","7301 2218","yn 3","yẽ 3","yẽ 3","yŋ 3","yn 3","yn 3","yĩ 3","yən 32","ɦyoŋ 32","yn 31","uən 31","yn 32","jun 3","uan 32","un 32","uŋ 32","ouŋ 32","yiŋ 32","yən 3"
2457,4947,"類","止合三去至來","7352 1173","lei 3","luei 3","luei 3","luei 3","nei 3","nuei 3","luəi 3","le̲ 32","lo̲y 32","nei 32 (lit.); nei 31","ny 32","lui 32","lui 3","lö̲y 32","lui 32","lui 32","luei 32","lei 32","luei 3"
2458,4948,"願","山合三去願疑","7349 2024","yan 3","yã 3","yã 3","yɛ 3","yan 3","yan 3","yî̃ 3","ńiö 32","ńy 32","yẽ 31 (lit.); yẽ 32","uĩ 32","ńyɔn 32","ńian 3","jyn 32","guan 32","ŋueŋ 22","ŋuɔŋ 32","ńyö 32","yen 3"
2459,4949,"顛","山開四平先端","7351 1789","tian 11","tiã 11","tiã 11","tiɛ 1","tian 11","tian 11","tî̃ 11","tî 11","ti 11","tiẽ 11","tî̃ 11","tiɛn 11","tiɛn 11","tin 11","tian 11","tieŋ 11","tieŋ 11","tî 1","tien 1"
2460,4954,"騙","山開三去線滂","7499 1783","phian 3","phiã 3","phiã 3","phiɛ 3","phian 3","phian 3","phî̃ 3","phî 31","phi 31","phiẽ 31","phî̃ 31","phiɛn 2","phiɛn 3","phin 31","phian 31","phieŋ 31","phieŋ 31","phî 3","phien 3"
2461,4955,"鬍","遇合一平模匣","7579 0927","xu 12","xu 12","xu 12","xu 1","xu 12","fu 12","xu 12","ɦəu 12","vu 12","fu 12","ɣəu 12","u 31","fu 12","uu 12","hɔ 12","hu 12","xu 12","ɦu 32",""
2462,4962,"鵲","宕開三入藥清","7717 1469","ćhiau 2; ćhye 3","ćhye 11","ćyo 11","ćhyəʔ 41","ćhio 12","ćhyo 12","ćhiâʔ 4","chia̲ʔ 41","ćhia 41","ćhio 4","ćhiû 31","ćhiɔk 41","siak 41","čhö̲k 43","chiɔk 41","chia 41","chuɔʔ 41","ćhiaʔ 4","chiau 42"
2463,4965,"麒","止開三平之群","7784 0675","ćhi 12","ćhi 12","ćhi 12","ćhi 1","ćhi 12","ćhi 12","ćhi 12","ʒ́i 12","ʒi̲ 12","ći 12","ʒ́i 12","ćhi 12","khi 12","khei 12","ki 12","khi 12","ki 12","",""
2464,4966,"麗","蟹開四去霽來","7787 0612","li 3","li 3","li 3","li 3","ni 3","ni 3","li 3","li 32","lei 32","ni 31","ni 31","li 32","li 3","lai 32","le 32","li 22","la 32","li 32","li 3"
2465,4968,"麴","通合三入屋溪","7798 0979","ćhy 11","ćhy 11","ćhy 11","ćhyəʔ 41","ćhy 12","ćhyo 12","ćhiɔʔ 4","ćhioʔ 41","ćhiu 41","ćhio 4","ćhiû 12","ćhiuk 41","khiuk 41","kuk 41","khiɔk 41 (lit.); khak 41","khek 41","khöyʔ 41","ćhyîʔ 4","khiu 42"
2466,4969,"勸","山合三去願溪","0538 2003","ćhyan 3","ćhyã 3","ćhyã 3","ćhyɛ 3","chuan 3","ćhyan 3","ćhyî̃ 3","ćhiö 31","ćhy 31","ćhyẽ 31","thuĩ 31","ćhyɔn 2","khian 3","hyn 31","khŋ 31; khuan 31 (lit.)","khɨŋ 31","khuɔŋ 31","ćhyö 3","khyen 3"
2467,4971,"嚷","宕開三上養日","0924 2298","ẓaŋ 2","ẓaŋ 2","ẓaŋ 2","zã̲ 2","naŋ 2","zaŋ 2","lâŋ 2","ńiaŋ 32","ɦi 12","ẓan 2","iaŋ 32","lɔŋ 2","jɔŋ 3","jö̲ŋ 22","ʒiɔŋ 2","ziaŋ 21","yɔ 2","",""
2468,4973,"嚴","咸開三平嚴疑","0917 1901","ian 12","iã 12","ia 12","iɛ 1","ian 12","ńian 12","î̃ 12","ńî 12","ńi 12","ńiẽ 12","ńî̃ 12","ńiɛn 31","ńiam 12","jim 12","ŋiam 12","ŋiəm 12","ŋieŋ 12","ńî 32","iem 12"
2469,4974,"嚼","宕開三入藥從","0920 1446","ćiau 12","ćiɔ 12","ćiau 12","ćyəʔ 42","ćio 12","ćiau 12","ćiaʔ 4","zia̲ʔ 42","ɦia 42","ćio 4","ćiû 31","ćhiɛu 32 (lit.); ćhiɔk 41","ciɔk 41","čö̲k 42","ciɔk 42","ciak 41","cuɔʔ 41","ziaʔ 42",""
2470,4978,"寶","效開一上皓幫","1405 1273","pau 2","pɔ 2","pau 2","pau 2","pau 2","pau 2","pɔ 2","pä 2","pз 21","pau 2","pə 2","pau 2","pau 2","pou 21","po 2","po 21","pɔ 2","pɔ 3","pau 2"
2471,4979,"懸","山合四平仙匣","2038 2007","śyan 12","śyã 12","śyã 12","śyɛ 1","śyan 12","śyan 12","śyî̃ 12","iö 12","ɦy 12","śiẽ 12","ɣui 12","śyɔn 31","hian 12","jyn 12","hian 12 (lit.); haũ 12","hieŋ 11","xieŋ 12","yö 32","xien 12"
2472,4981,"攘","宕開三上養日","2376 2298","ẓaŋ 2","ẓaŋ 2","ẓaŋ 2","zã̲ 2","naŋ 2","zaŋ 2","lâŋ 2","ńiaŋ 32","ɦi 12","ẓan 2","iaŋ 32","lɔŋ 2","jɔŋ 3","jö̲ŋ 22","ʒiɔŋ 2","ziaŋ 21","yɔ 2","",""
2473,4983,"攔","山開一平寒來","2374 1689","lan 12","lã 12","lã 12","lä̃ 1","nan 12","nan 12","lɛ̃ 12","le̲ 12","la 12","nan 12","nã 12","lan 31","lan 12","lān 12","lan 12 (lit.); nuã 12","laŋ 12","laŋ 12","le̲ 32","lan 12"
2474,4984,"攙","咸開二平銜初","2356 1719","c̣han 11","c̣hã 11","cã 11","chä̃ 1","chan 11","chan 11","chɛ̃ 11","che̲ 11","cha 11","can 12","chã 11","chan 11","chan 12","čhām 11","cham 11","cham 11","chai 12","che̲ 1","čham 1"
2475,4991,"爐","遇合一平模來","3619 0819","lu 12","lu 12","lou 12","lu 1; lou 1","nou 12","nu 12","lu 12","ləu 12","ləu 12","nôu 12","nəu 12","lu 31","lu 12","lou 12","lɔ 12","lou 12","lu 12","",""
2476,4992,"獻","山開三去願曉","3759 1889","śian 3","śiã 3","śiã 3","śiɛ 3","śian 3","śian 3","śî̃ 3","śî 31","śi 31","śiẽ 31","śî̃ 31","śiɛn 31","hian 3","hin 31","hian 31","hieŋ 31","xyɔŋ 31","śî 3","xien 3"
2477,4995,"礦","梗合二上梗見","4349 2388","khuaŋ 3","khuaŋ 3","koŋ 2; khuaŋ 3","khuã̲ 3","khuaŋ 3","khuaŋ 3; koŋ 2","khuâŋ 3","khua̲ŋ 2","khuɔ 31","khuan 31","khaŋ 31","khuɔŋ 2","khɔŋ 3","khuɔŋ 31","khɔŋ 31","khuaŋ 31","khuɔŋ 2","khuã̲ 3","kuəŋ 2"
2478,4997,"礬","山合三平元奉","4345 1652","fan 12","fã 12","fã 12","fä̃ 1","fan 12","fan 12","fɛ̃ 12","ve̲ 12","va 12","fan 12","ɣuã 12","фuan 31","fan 12","fān 12","huan 12","hueŋ 12","xuaŋ 12","",""
2479,5000,"競","梗開三去映群","4552 2574","ćiŋ 3","ćiŋ 3","ćiŋ 3","ćiŋ 3","ćin 3","ćiŋ 3","ćĩ 3","ʒ́in 32","ʒ́iaŋ 32","ćin 31","ćin 31","ćin 31","khin 2","kîŋ 32","kîŋ 31","keŋ 22","kiŋ 11","ćiŋ 32","kiəŋ 3"
2480,5001,"籌","流開三平尤澄","4693 1533","c̣hou 12","c̣hou 12","c̣hou 12","chou 1","chou 12","chəu 12","chôɨ 12","zöy 12","ʒ́iu 12","c̣ôu 12","ʒ́iû 12","chəu 12","chu 12","čhau 12","tiu 12","thiu 12","thieu 12","zô 32","čhiou 12"
2481,5002,"籃","咸開一平談來","4691 1687","lan 12","lã 12","lã 12","lä̃ 1","nan 12","nan 12","lɛ̃ 12","le̲ 12","la 12","nan 12","nã 12","lan 31","lam 12","lām 12","lam 12","na 12","laŋ 12","le̲ 32","lam 12"
2482,5003,"籍","梗開三入昔從","4694 0642","ći 12","ći 12","ći 11","ćiəʔ 42","ći 12","ći 12","ćiəʔ 4","ziôʔ 42","zei 22","ci 4","ćhi 31","ćit 41","sit 42","čîk 42","cîk 42","cia 22","ciʔ 42","zîʔ 42",""
2483,5004,"糯","果合一去過泥","4754 0262","nuo 3","nuə 3","nuo 3","nuə 3","no 3","no 3","no 3","nəu 32","noŋ 32","no 32","nəu 32","lo 31","nɔ 3","nɔ 32","lo 32","no 22","nɔ 32","nou 32","nuo 3"
2484,5005,"辮","山開四上銑並","4947 1777","pian 3","piã 3","piã 3","piɛ 3","pian 3","pian 3","pĩ̲ 3","bî 32","bi 22","piẽ 31 (lit.); piẽ 32","bî̃ 32","phiɛn 32","piɛn 11","pin 11","pian 32 (lit.); pĩ 32","pĩ 11","pieŋ 32","pî 32","pien 3"
2485,5007,"繼","蟹開四去霽見","4949 0652","ći 3","ći 3","ći 3","ći 3","ći 3","ći 3","ći 3","ći 31","ci̲ 31","ći 31","ći 31","ći 31","ki 3","kai 31","ke 31","ki 31","kiɛ 31","ći 3","ki 3"
2486,5017,"蘆","遇合一平模來","5684 0819","lu 12","lu 12","lou 12","lu 1; lou 1","nou 12","nu 12","lu 12","ləu 12","ləu 12","nôu 12","nəu 12","lu 31","lu 12","lou 12","lɔ 12","lou 12","lu 12","",""
2487,5019,"蘇","遇合一平模心","5685 0839","su 11","su 11","sou 11","su 1","sou 11","su 11","su 11","səu 11","so̲y 11","sôu 11","səu 11","su 11","si̲ 11","šou 11","sɔ 11","sou 11","su 11","su 1","su 1"
2488,5024,"覺","A: 江開二入覺見; B: 效開二去效見","A: 6030 0386; B: 6030 1457","A: ćye 12; B: ćiau 3","A: ćye 11; B: ćiɔ 3","A: ćyo 11; B: ćiau 3","A: ćyəʔ 41; B: ćiau 3","A: ćio 12; B: ćiau 3","A: ćyo 12; B: ćiau 3  (lit.); kau 3","A: ćiâʔ 4; B: ćiɔ 3  (lit.); kɔ 3","A: ćioʔ 41; B: ćiä 31 (lit.); kä 31","A: ko 41; B: kuɔ 31","A: ćio 4; B: kau 31","A: tû 12; B: ćiə 31 (lit.); kə 31","A: kɔk 41; B: kau 31","A: kɔk 41; B: kau 3","A: kɔk 43; B: kāu 31","A: kak 41; B: kak 41","A: kak 41; B: kak 41","A: kauʔ 41; B: kouʔ 41","A: ćyîʔ 4; ćioʔ 4; B: ćiɔ 3","A: kau 42; B: kau 3"
2489,5025,"觸","通合三入燭昌","6051 0882","c̣hu 3","c̣u 11","pfhu 12","chuəʔ 41","chou 12","cu 12","chɔʔ 4","choʔ 41","ćhyo 41","c̣hôu 4","ćhiû 12","chuk 41","chuk 41","čhuk 41","chiɔk 41 (lit.); tak 41","chok 41","chöyʔ 41","choʔ 4","čhu 42"
2490,5026,"議","止開三去寘疑","6231 0721","i 3","i 3","i 3","i 3","i 3","ńi 3","i 3","ńi 32","ńi 32","ńi 31","ńi 32","ńi 32","ńi 3","ji 32","","ŋi 22","ŋie 32","",""
2491,5027,"譬","止開三去寘滂","6229 0555","phi 3","phi 3","phi 3","phi 2","phei 3","phi 2","phi 3","phi 31","phei 21","phi 31","phi 12","phi 2","phi 2","phei 31","pi 31","phi 31","phei 31","phi 3",""
